"file_path","source","description","size_bytes","sha256","git_policy","backup_location","notes"
"02_raw_data/attachment_1.xlsx","00_inbox/附件/附件1.xlsx","赛题附件1原始数据","56691","769b2cec2981ee655fa37ea13708442830bb42e19d74e7e40fa7809bbdc8b3eb","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_2.xlsx","00_inbox/附件/附件2.xlsx","赛题附件2原始数据","57596","77ae841ebc62df2773de46a083b05aa95bc8111ca5c7fc62786c77a0501b068a","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_3/result1-1.xlsx","00_inbox/附件/附件3/result1-1.xlsx","赛题附件3 result1-1 原始结果文件","35128","cfa9bd89ca6c3c5976470a658af577e2c0ac0da98b488fb8e0fe2fae9f44d6bc","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_3/result1-2.xlsx","00_inbox/附件/附件3/result1-2.xlsx","赛题附件3 result1-2 原始结果文件","35128","cfa9bd89ca6c3c5976470a658af577e2c0ac0da98b488fb8e0fe2fae9f44d6bc","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_3/result2-1.xlsx","00_inbox/附件/附件3/result2-1.xlsx","赛题附件3 result2-1 原始结果文件","12174","ede188f310c06379cc4a325648265a7b20b83e6e00c1ac7c3cd9358deb90f97d","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_3/result2-2.xlsx","00_inbox/附件/附件3/result2-2.xlsx","赛题附件3 result2-2 原始结果文件","12206","fe9bf025f32f14f1a50d547fac16480ac049dde84302105000d225bde21b3fc6","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_3/result3-1.xlsx","00_inbox/附件/附件3/result3-1.xlsx","赛题附件3 result3-1 原始结果文件","35128","cfa9bd89ca6c3c5976470a658af577e2c0ac0da98b488fb8e0fe2fae9f44d6bc","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_3/result3-2.xlsx","00_inbox/附件/附件3/result3-2.xlsx","赛题附件3 result3-2 原始结果文件","35128","cfa9bd89ca6c3c5976470a658af577e2c0ac0da98b488fb8e0fe2fae9f44d6bc","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_3/result4-1.xlsx","00_inbox/附件/附件3/result4-1.xlsx","赛题附件3 result4-1 原始结果文件","12172","0a7f570ce4ced26d0199406389fe47ac58a0bbf980775bae3d097c4f391eb166","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
"02_raw_data/attachment_3/result4-2.xlsx","00_inbox/附件/附件3/result4-2.xlsx","赛题附件3 result4-2 原始结果文件","12155","144c0ceed4b93bce8efbbc05823204108cf07735b23c57445b5124c89c3fac1f","private_git_small_file","local/private backup required before final submission","从队友投递区整理，内容未修改"
